Compliance, Name,Is a dependency?,URL,Licence,Details
True,certifi,True,https://certifiio.readthedocs.io/en/latest/,MPL-2.0,Licence is compliant.
True,chardet,True,https://github.com/chardet/chardet,Unknown,Package's licence manually checked: LGPL-2.1 - Accepted temporarily
True,click,True,https://palletsprojects.com/p/click/,BSD-3-Clause,Licence is compliant.
True,gitdb,True,https://github.com/gitpython-developers/gitdb,0BSD,Licence is compliant.
True,GitPython,True,https://github.com/gitpython-developers/GitPython,Unknown,Package's licence manually checked: BSD-3-Clause
True,idna,True,https://github.com/kjd/idna,0BSD,Licence is compliant.
True,importlib-metadata,True,http://importlib-metadata.readthedocs.io/,Apache-2.0,Licence is compliant.
True,Jinja2,True,https://palletsprojects.com/p/jinja/,BSD-3-Clause,Licence is compliant.
True,Mako,True,https://www.makotemplates.org/,MIT,Licence is compliant.
True,Markdown,True,https://Python-Markdown.github.io/,0BSD,Licence is compliant.
True,MarkupSafe,True,https://palletsprojects.com/p/markupsafe/,BSD-3-Clause,Licence is compliant.
True,mbed-tools,False,https://github.com/ARMmbed/mbed-tools,Apache-2.0,Licence is compliant.
True,pdoc3,True,https://pdoc3.github.io/pdoc/,AGPL-3.0,Package's licence manually checked: AGPL-3.0 - Accepted temporarily
True,psutil,True,https://github.com/giampaolo/psutil,0BSD,Licence is compliant.
True,python-dotenv,True,https://github.com/theskumar/python-dotenv,Unknown,Package's licence manually checked: BSD-3-Clause
True,pyudev,True,http://pyudev.readthedocs.org/,LGPL-2.1,Package's licence manually checked: LGPL-2.1 - Accepted temporarily
True,requests,True,https://requests.readthedocs.io,Apache-2.0,Licence is compliant.
True,six,True,https://github.com/benjaminp/six,MIT,Licence is compliant.
True,smmap,True,https://github.com/gitpython-developers/smmap,0BSD,Licence is compliant.
True,tabulate,True,https://github.com/astanin/python-tabulate,MIT,Licence is compliant.
True,tqdm,True,https://github.com/tqdm/tqdm,MPL-2.0,Licence is compliant.
True,typing-extensions,True,https://github.com/python/typing/blob/master/typing_extensions/README.rst,ISC,Package's licence manually checked: Actually licensed as PSF-2.0.
True,urllib3,True,https://urllib3.readthedocs.io/,MIT,Licence is compliant.
True,zipp,True,https://github.com/jaraco/zipp,Unknown,Package's licence manually checked: MIT
